date,channel,campaign,data_label,impressions,clicks,spend,conversions,orders,revenue,promotion,is_holiday
2024-01-14,Google Ads,Search & Shopping,synthetic,27476,863,554.11,42,37,1975.40,0,0
2024-01-14,Meta Ads,Prospecting & Retargeting,synthetic,36900,730,460.83,28,25,1318.17,0,0
2024-01-14,Email,Lifecycle,synthetic,22730,826,42.37,69,60,475.66,0,0
2024-01-14,Organic,Content & SEO,synthetic,27212,1371,13.57,82,65,299.43,0,0
2024-01-15,Google Ads,Search & Shopping,synthetic,35169,1084,533.84,48,37,2705.38,0,0
2024-01-15,Meta Ads,Prospecting & Retargeting,synthetic,44757,869,412.79,32,29,1520.53,0,0
2024-01-15,Email,Lifecycle,synthetic,16872,582,43.02,41,34,394.25,0,0
2024-01-15,Organic,Content & SEO,synthetic,25562,1354,14.56,80,67,243.31,0,0
2024-01-16,Google Ads,Search & Shopping,synthetic,34723,1094,516.24,49,42,2035.11,0,0
2024-01-16,Meta Ads,Prospecting & Retargeting,synthetic,44581,976,411.94,38,30,1640.74,0,0
2024-01-16,Email,Lifecycle,synthetic,16491,595,45.21,47,38,370.89,0,0
2024-01-16,Organic,Content & SEO,synthetic,23254,1186,15.83,59,48,278.64,0,0
2024-01-17,Google Ads,Search & Shopping,synthetic,34071,1159,507.12,56,49,2129.11,0,0
2024-01-17,Meta Ads,Prospecting & Retargeting,synthetic,43366,920,378.10,33,29,1430.45,0,0
2024-01-17,Email,Lifecycle,synthetic,18249,651,41.41,45,38,346.22,0,0
2024-01-17,Organic,Content & SEO,synthetic,22133,1166,14.43,65,55,244.39,0,0
2024-01-18,Google Ads,Search & Shopping,synthetic,36616,1177,452.50,52,44,2075.20,0,0
2024-01-18,Meta Ads,Prospecting & Retargeting,synthetic,62376,1404,489.00,59,48,2726.23,1,0
2024-01-18,Email,Lifecycle,synthetic,18986,601,43.77,43,36,428.42,0,0
2024-01-18,Organic,Content & SEO,synthetic,25823,1342,14.47,75,63,283.22,0,0
2024-01-19,Google Ads,Search & Shopping,synthetic,38289,1233,507.63,57,51,2761.46,0,0
2024-01-19,Meta Ads,Prospecting & Retargeting,synthetic,42283,830,398.09,31,26,1483.44,0,0
2024-01-19,Email,Lifecycle,synthetic,15223,526,46.43,39,32,339.08,0,0
2024-01-19,Organic,Content & SEO,synthetic,23827,1170,17.09,64,58,319.02,0,0
2024-01-20,Google Ads,Search & Shopping,synthetic,27834,869,481.02,38,31,1923.47,0,0
2024-01-20,Meta Ads,Prospecting & Retargeting,synthetic,37292,793,369.83,28,21,1278.22,0,0
2024-01-20,Email,Lifecycle,synthetic,20382,722,43.27,50,41,483.21,0,0
2024-01-20,Organic,Content & SEO,synthetic,27035,1313,15.54,66,56,314.45,0,0
2024-01-21,Google Ads,Search & Shopping,synthetic,24176,764,494.03,38,32,1829.81,0,0
2024-01-21,Meta Ads,Prospecting & Retargeting,synthetic,35304,719,391.96,26,22,1168.81,0,0
2024-01-21,Email,Lifecycle,synthetic,23012,797,48.14,61,47,580.40,0,0
2024-01-21,Organic,Content & SEO,synthetic,26986,1389,16.09,77,66,292.19,0,0
2024-01-22,Google Ads,Search & Shopping,synthetic,32688,1108,482.76,53,42,2175.31,0,0
2024-01-22,Meta Ads,Prospecting & Retargeting,synthetic,46569,1066,436.02,39,30,1682.38,0,0
2024-01-22,Email,Lifecycle,synthetic,16860,618,47.98,51,41,389.89,0,0
2024-01-22,Organic,Content & SEO,synthetic,25463,1389,16.89,84,72,281.04,0,0
2024-01-23,Google Ads,Search & Shopping,synthetic,37991,1172,490.02,53,45,2472.36,0,0
2024-01-23,Meta Ads,Prospecting & Retargeting,synthetic,44025,872,407.19,33,29,1801.17,0,0
2024-01-23,Email,Lifecycle,synthetic,18583,648,46.51,48,38,484.94,0,0
2024-01-23,Organic,Content & SEO,synthetic,25104,1359,16.75,77,61,333.39,0,0
2024-01-24,Google Ads,Search & Shopping,synthetic,36943,1182,477.57,54,49,2108.80,0,0
2024-01-24,Meta Ads,Prospecting & Retargeting,synthetic,70541,1626,468.42,66,52,3052.70,1,0
2024-01-24,Email,Lifecycle,synthetic,17465,653,46.19,49,42,407.86,0,0
2024-01-24,Organic,Content & SEO,synthetic,32175,1826,19.51,113,97,507.31,1,0
2024-01-25,Google Ads,Search & Shopping,synthetic,38572,1216,480.61,63,53,2161.05,0,0
2024-01-25,Meta Ads,Prospecting & Retargeting,synthetic,68383,1533,500.89,71,57,2757.21,1,0
2024-01-25,Email,Lifecycle,synthetic,17457,574,47.40,44,35,381.01,0,0
2024-01-25,Organic,Content & SEO,synthetic,26735,1360,16.07,85,70,335.27,0,0
2024-01-26,Google Ads,Search & Shopping,synthetic,44309,1444,474.61,67,55,2430.64,0,1
2024-01-26,Meta Ads,Prospecting & Retargeting,synthetic,60389,1244,431.86,46,40,2197.10,0,1
2024-01-26,Email,Lifecycle,synthetic,20100,716,49.48,58,49,531.41,0,1
2024-01-26,Organic,Content & SEO,synthetic,31200,1622,17.49,79,68,388.66,0,1
2024-01-27,Google Ads,Search & Shopping,synthetic,27107,942,463.38,44,32,1497.18,0,0
2024-01-27,Meta Ads,Prospecting & Retargeting,synthetic,39334,820,454.69,30,24,1504.65,0,0
2024-01-27,Email,Lifecycle,synthetic,21683,760,51.68,54,46,576.94,0,0
2024-01-27,Organic,Content & SEO,synthetic,26425,1457,16.72,83,71,341.42,0,0
2024-01-28,Google Ads,Search & Shopping,synthetic,23518,766,497.45,37,29,1572.89,0,0
2024-01-28,Meta Ads,Prospecting & Retargeting,synthetic,45756,1029,510.79,44,39,2070.22,1,0
2024-01-28,Email,Lifecycle,synthetic,20999,770,46.96,56,45,520.71,0,0
2024-01-28,Organic,Content & SEO,synthetic,26714,1389,15.78,72,59,283.12,0,0
2024-01-29,Google Ads,Search & Shopping,synthetic,33619,1069,501.08,51,41,2259.08,0,0
2024-01-29,Meta Ads,Prospecting & Retargeting,synthetic,45959,965,423.33,38,31,1655.13,0,0
2024-01-29,Email,Lifecycle,synthetic,20189,752,50.19,64,54,493.64,0,0
2024-01-29,Organic,Content & SEO,synthetic,21327,1092,16.05,59,50,295.02,0,0
2024-01-30,Google Ads,Search & Shopping,synthetic,36086,1213,498.14,59,52,2147.71,0,0
2024-01-30,Meta Ads,Prospecting & Retargeting,synthetic,48623,1029,466.71,35,27,1654.67,0,0
2024-01-30,Email,Lifecycle,synthetic,18372,667,50.68,48,37,408.38,0,0
2024-01-30,Organic,Content & SEO,synthetic,23934,1173,15.30,67,59,266.19,0,0
2024-01-31,Google Ads,Search & Shopping,synthetic,35510,1123,531.53,55,45,2704.84,0,0
2024-01-31,Meta Ads,Prospecting & Retargeting,synthetic,50682,995,453.21,37,31,1871.51,0,0
2024-01-31,Email,Lifecycle,synthetic,17869,607,51.74,45,36,493.78,0,0
2024-01-31,Organic,Content & SEO,synthetic,20569,992,15.78,57,46,303.06,0,0
2024-02-01,Google Ads,Search & Shopping,synthetic,35569,1154,540.09,55,45,2878.68,0,0
2024-02-01,Meta Ads,Prospecting & Retargeting,synthetic,47875,954,472.76,32,25,1713.82,0,0
2024-02-01,Email,Lifecycle,synthetic,18486,632,49.23,45,34,455.97,0,0
2024-02-01,Organic,Content & SEO,synthetic,26020,1326,16.73,70,58,244.11,0,0
2024-02-02,Google Ads,Search & Shopping,synthetic,34880,1150,502.54,53,43,2353.77,0,0
2024-02-02,Meta Ads,Prospecting & Retargeting,synthetic,50025,1098,486.29,41,32,2039.20,0,0
2024-02-02,Email,Lifecycle,synthetic,18077,637,46.11,52,42,459.17,0,0
2024-02-02,Organic,Content & SEO,synthetic,25612,1307,15.20,68,53,275.22,0,0
2024-02-03,Google Ads,Search & Shopping,synthetic,25943,834,500.96,41,34,1723.48,0,0
2024-02-03,Meta Ads,Prospecting & Retargeting,synthetic,36626,783,484.44,30,24,1553.70,0,0
2024-02-03,Email,Lifecycle,synthetic,24109,829,42.99,55,48,502.50,0,0
2024-02-03,Organic,Content & SEO,synthetic,34113,1745,15.20,97,70,404.69,0,0
2024-02-04,Google Ads,Search & Shopping,synthetic,30351,978,594.91,42,35,2213.89,0,0
2024-02-04,Meta Ads,Prospecting & Retargeting,synthetic,39981,829,449.41,33,28,1440.86,0,0
2024-02-04,Email,Lifecycle,synthetic,22539,820,47.16,60,51,478.25,0,0
2024-02-04,Organic,Content & SEO,synthetic,28267,1528,14.91,87,72,344.87,0,0
2024-02-05,Google Ads,Search & Shopping,synthetic,36604,1177,597.93,56,47,2661.73,0,0
2024-02-05,Meta Ads,Prospecting & Retargeting,synthetic,47895,991,454.49,37,29,1884.03,0,0
2024-02-05,Email,Lifecycle,synthetic,17966,591,44.64,43,38,418.12,0,0
2024-02-05,Organic,Content & SEO,synthetic,23149,1213,13.57,68,57,245.94,0,0
2024-02-06,Google Ads,Search & Shopping,synthetic,36920,1148,555.81,58,47,2342.32,0,0
2024-02-06,Meta Ads,Prospecting & Retargeting,synthetic,46467,969,480.47,33,25,2062.01,0,0
2024-02-06,Email,Lifecycle,synthetic,19845,675,45.66,49,39,426.54,0,0
2024-02-06,Organic,Content & SEO,synthetic,23619,1212,13.93,66,49,252.02,0,0
2024-02-07,Google Ads,Search & Shopping,synthetic,38752,1214,552.05,58,47,2710.62,0,0
2024-02-07,Meta Ads,Prospecting & Retargeting,synthetic,50439,1113,465.56,40,30,2230.55,0,0
2024-02-07,Email,Lifecycle,synthetic,18447,706,48.17,51,39,397.62,0,0
2024-02-07,Organic,Content & SEO,synthetic,21314,1046,14.81,58,47,268.53,0,0
2024-02-08,Google Ads,Search & Shopping,synthetic,34349,1125,569.07,55,45,2660.42,0,0
2024-02-08,Meta Ads,Prospecting & Retargeting,synthetic,44904,924,444.71,37,32,1732.41,0,0
2024-02-08,Email,Lifecycle,synthetic,18694,660,41.63,54,44,374.49,0,0
2024-02-08,Organic,Content & SEO,synthetic,23035,1249,13.82,65,51,241.84,0,0
2024-02-09,Google Ads,Search & Shopping,synthetic,37514,1196,569.16,52,44,2624.04,0,0
2024-02-09,Meta Ads,Prospecting & Retargeting,synthetic,62787,1416,529.28,57,46,2565.09,1,0
2024-02-09,Email,Lifecycle,synthetic,18570,609,44.14,46,34,387.74,0,0
2024-02-09,Organic,Content & SEO,synthetic,24976,1224,14.32,68,56,305.47,0,0
2024-02-10,Google Ads,Search & Shopping,synthetic,31103,946,561.99,39,31,2018.69,0,0
2024-02-10,Meta Ads,Prospecting & Retargeting,synthetic,38052,803,444.81,31,25,1515.33,0,0
2024-02-10,Email,Lifecycle,synthetic,19480,672,40.28,47,38,428.95,0,0
2024-02-10,Organic,Content & SEO,synthetic,31020,1571,14.10,78,63,330.70,0,0
2024-02-11,Google Ads,Search & Shopping,synthetic,29103,952,572.77,43,36,2107.46,0,0
2024-02-11,Meta Ads,Prospecting & Retargeting,synthetic,51163,1189,493.66,57,48,2116.33,1,0
2024-02-11,Email,Lifecycle,synthetic,29651,1095,51.31,92,72,792.90,1,0
2024-02-11,Organic,Content & SEO,synthetic,31545,1583,13.46,87,75,313.55,0,0
2024-02-12,Google Ads,Search & Shopping,synthetic,38632,1270,529.57,61,53,2578.51,0,0
2024-02-12,Meta Ads,Prospecting & Retargeting,synthetic,50961,1070,441.63,41,33,1952.14,0,0
2024-02-12,Email,Lifecycle,synthetic,27699,1050,47.40,81,69,624.10,1,0
2024-02-12,Organic,Content & SEO,synthetic,20912,1139,13.84,68,51,258.11,0,0
2024-02-13,Google Ads,Search & Shopping,synthetic,46919,1663,722.33,98,75,4659.09,1,0
2024-02-13,Meta Ads,Prospecting & Retargeting,synthetic,45653,985,402.99,40,34,1754.59,0,0
2024-02-13,Email,Lifecycle,synthetic,20608,678,44.78,47,37,485.01,0,0
2024-02-13,Organic,Content & SEO,synthetic,24256,1254,14.36,71,55,263.80,0,0
2024-02-14,Google Ads,Search & Shopping,synthetic,34993,1186,519.01,56,44,1996.83,0,0
2024-02-14,Email,Lifecycle,synthetic,17504,624,44.55,46,39,370.43,0,0
2024-02-14,Organic,Content & SEO,synthetic,24788,1237,14.29,69,52,244.27,0,0
2024-02-15,Google Ads,Search & Shopping,synthetic,33938,1109,542.32,51,39,2380.20,0,0
2024-02-15,Meta Ads,Prospecting & Retargeting,synthetic,52611,1135,429.81,39,31,1853.32,0,0
2024-02-15,Email,Lifecycle,synthetic,19519,682,42.87,54,45,407.21,0,0
2024-02-15,Organic,Content & SEO,synthetic,25442,1277,14.40,70,58,273.88,0,0
2024-02-16,Google Ads,Search & Shopping,synthetic,37718,1222,504.23,54,44,2337.48,0,0
2024-02-16,Meta Ads,Prospecting & Retargeting,synthetic,47497,952,386.78,39,32,1487.46,0,0
2024-02-16,Email,Lifecycle,synthetic,23862,908,50.12,69,56,552.71,1,0
2024-02-16,Organic,Content & SEO,synthetic,24988,1194,14.62,63,54,301.88,0,0
2024-02-17,Google Ads,Search & Shopping,synthetic,26711,864,490.49,42,36,1753.49,0,0
2024-02-17,Meta Ads,Prospecting & Retargeting,synthetic,38112,805,438.77,32,26,1437.19,0,0
2024-02-17,Email,Lifecycle,synthetic,22806,798,40.65,56,48,483.07,0,0
2024-02-17,Organic,Content & SEO,synthetic,31786,1645,16.08,93,74,339.73,0,0
2024-02-18,Google Ads,Search & Shopping,synthetic,27858,859,490.43,40,34,1752.30,0,0
2024-02-18,Meta Ads,Prospecting & Retargeting,synthetic,34962,716,384.16,28,23,1123.33,0,0
2024-02-18,Email,Lifecycle,synthetic,25241,865,45.29,63,51,517.92,0,0
2024-02-18,Organic,Content & SEO,synthetic,27192,1444,15.30,80,71,316.97,0,0
2024-02-19,Google Ads,Search & Shopping,synthetic,34265,1121,495.35,55,48,2240.58,0,0
2024-02-19,Meta Ads,Prospecting & Retargeting,synthetic,49607,964,391.31,42,35,1680.26,0,0
2024-02-19,Email,Lifecycle,synthetic,18943,668,42.33,51,40,377.61,0,0
2024-02-19,Organic,Content & SEO,synthetic,24282,1251,15.89,68,52,306.84,0,0
2024-02-20,Google Ads,Search & Shopping,synthetic,39817,1250,525.11,61,51,2706.98,0,0
2024-02-20,Meta Ads,Prospecting & Retargeting,synthetic,40311,899,401.93,35,29,1641.34,0,0
2024-02-20,Email,Lifecycle,synthetic,15727,547,45.96,37,30,362.92,0,0
2024-02-20,Organic,Content & SEO,synthetic,21644,1105,17.04,65,54,329.37,0,0
2024-02-21,Google Ads,Search & Shopping,synthetic,42874,1453,496.51,72,55,2560.92,0,0
2024-02-21,Meta Ads,Prospecting & Retargeting,synthetic,52473,1057,431.98,39,32,1855.43,0,0
2024-02-21,Email,Lifecycle,synthetic,18522,670,45.95,49,41,490.77,0,0
2024-02-21,Organic,Content & SEO,synthetic,21819,1164,15.89,54,44,288.46,0,0
2024-02-22,Google Ads,Search & Shopping,synthetic,41185,1221,466.64,57,45,2381.19,0,0
2024-02-22,Meta Ads,Prospecting & Retargeting,synthetic,48771,997,381.58,37,29,1533.90,0,0
2024-02-22,Email,Lifecycle,synthetic,16326,549,46.43,38,34,423.69,0,0
2024-02-22,Organic,Content & SEO,synthetic,23413,1151,15.81,61,52,287.85,0,0
2024-02-23,Google Ads,Search & Shopping,synthetic,32954,1020,510.96,44,32,2132.49,0,0
2024-02-23,Meta Ads,Prospecting & Retargeting,synthetic,45290,941,459.97,37,31,1651.53,0,0
2024-02-23,Email,Lifecycle,synthetic,17526,555,49.22,43,32,452.05,0,0
2024-02-23,Organic,Content & SEO,synthetic,24590,1250,16.20,66,56,265.30,0,0
2024-02-24,Google Ads,Search & Shopping,synthetic,26788,896,483.02,40,32,1523.17,0,0
2024-02-24,Meta Ads,Prospecting & Retargeting,synthetic,37899,821,431.74,32,26,1425.26,0,0
2024-02-24,Email,Lifecycle,synthetic,22641,820,46.15,60,50,484.54,0,0
2024-02-24,Organic,Content & SEO,synthetic,29515,1579,16.79,89,67,371.19,0,0
2024-02-25,Google Ads,Search & Shopping,synthetic,25480,874,499.79,42,33,1698.12,0,0
2024-02-25,Meta Ads,Prospecting & Retargeting,synthetic,36246,756,431.62,32,26,1390.76,0,0
2024-02-25,Email,Lifecycle,synthetic,22207,778,51.13,57,48,551.63,0,0
2024-02-25,Organic,Content & SEO,synthetic,28282,1449,16.19,89,77,357.40,0,0
2024-02-26,Google Ads,Search & Shopping,synthetic,36610,1161,489.37,51,43,2515.13,0,0
2024-02-26,Meta Ads,Prospecting & Retargeting,synthetic,48364,979,486.72,38,29,1878.82,0,0
2024-02-26,Email,Lifecycle,synthetic,15912,570,48.64,41,37,470.39,0,0
2024-02-26,Organic,Content & SEO,synthetic,23052,1157,17.24,67,50,307.04,0,0
2024-02-27,Google Ads,Search & Shopping,synthetic,33005,1081,520.02,55,41,2108.56,0,0
2024-02-27,Meta Ads,Prospecting & Retargeting,synthetic,47365,1004,446.44,40,32,1669.54,0,0
2024-02-27,Email,Lifecycle,synthetic,18090,649,46.54,52,44,445.44,0,0
2024-02-27,Organic,Content & SEO,synthetic,30818,1713,18.57,108,91,471.16,1,0
2024-02-28,Google Ads,Search & Shopping,synthetic,36574,1172,481.19,52,38,2256.39,0,0
2024-02-28,Meta Ads,Prospecting & Retargeting,synthetic,67628,1450,512.77,62,52,2860.08,1,0
2024-02-28,Email,Lifecycle,synthetic,18769,651,48.50,50,41,487.21,0,0
2024-02-28,Organic,Content & SEO,synthetic,26250,1391,15.50,70,60,300.60,0,0
2024-02-29,Google Ads,Search & Shopping,synthetic,38528,1297,543.32,65,55,2838.94,0,0
2024-02-29,Meta Ads,Prospecting & Retargeting,synthetic,45825,967,444.10,34,26,1655.86,0,0
2024-02-29,Email,Lifecycle,synthetic,16200,588,50.78,42,34,479.37,0,0
2024-02-29,Organic,Content & SEO,synthetic,27089,1372,15.90,74,63,267.79,0,0
2024-03-01,Google Ads,Search & Shopping,synthetic,38334,1189,514.30,52,43,2621.60,0,0
2024-03-01,Meta Ads,Prospecting & Retargeting,synthetic,45905,951,431.43,33,27,1544.57,0,0
2024-03-01,Email,Lifecycle,synthetic,17835,620,49.15,41,31,492.28,0,0
2024-03-01,Organic,Content & SEO,synthetic,23698,1156,14.22,65,54,286.76,0,0
2024-03-02,Google Ads,Search & Shopping,synthetic,27090,844,579.25,42,33,2257.11,0,0
2024-03-02,Meta Ads,Prospecting & Retargeting,synthetic,39034,809,488.00,31,27,1432.56,0,0
2024-03-02,Email,Lifecycle,synthetic,20548,668,51.98,48,38,581.11,0,0
2024-03-02,Organic,Content & SEO,synthetic,29105,1478,15.22,78,62,319.19,0,0
2024-03-03,Google Ads,Search & Shopping,synthetic,28387,873,555.50,46,38,2049.77,0,0
2024-03-03,Meta Ads,Prospecting & Retargeting,synthetic,32798,662,484.92,25,20,1341.12,0,0
2024-03-03,Email,Lifecycle,synthetic,21275,784,46.88,58,50,501.32,0,0
2024-03-03,Organic,Content & SEO,synthetic,24503,1374,14.77,75,59,308.13,0,0
2024-03-04,Google Ads,Search & Shopping,synthetic,37161,1234,530.18,54,40,2515.83,0,0
2024-03-04,Meta Ads,Prospecting & Retargeting,synthetic,49071,1097,488.81,46,34,2045.86,0,0
2024-03-04,Email,Lifecycle,synthetic,20218,716,46.17,53,42,463.40,0,0
2024-03-04,Organic,Content & SEO,synthetic,22017,1199,14.89,70,56,239.24,0,0
2024-03-05,Google Ads,Search & Shopping,synthetic,35061,1067,576.06,50,46,2668.29,0,0
2024-03-05,Meta Ads,Prospecting & Retargeting,synthetic,69312,1515,556.84,68,55,3091.60,1,0
2024-03-05,Email,Lifecycle,synthetic,18074,621,46.02,44,38,346.68,0,0
2024-03-05,Organic,Content & SEO,synthetic,26049,1382,14.69,82,70,265.36,0,0
2024-03-06,Google Ads,Search & Shopping,synthetic,37571,1165,585.71,57,50,2591.76,0,0
2024-03-06,Meta Ads,Prospecting & Retargeting,synthetic,47133,935,453.64,39,31,2003.22,0,0
2024-03-06,Email,Lifecycle,synthetic,20756,724,47.50,48,43,490.29,0,0
2024-03-06,Organic,Content & SEO,synthetic,24527,1264,13.59,71,59,245.80,0,0
2024-03-07,Google Ads,Search & Shopping,synthetic,36314,1191,633.88,57,50,2666.23,0,0
2024-03-07,Meta Ads,Prospecting & Retargeting,synthetic,47797,993,460.08,39,32,1950.61,0,0
2024-03-07,Email,Lifecycle,synthetic,19414,700,44.62,49,40,411.64,0,0
2024-03-07,Organic,Content & SEO,synthetic,24313,1297,14.99,70,54,283.74,0,0
2024-03-08,Google Ads,Search & Shopping,synthetic,38620,1345,527.14,62,51,2724.67,0,0
2024-03-08,Meta Ads,Prospecting & Retargeting,synthetic,61499,1407,573.00,64,49,3249.30,1,0
2024-03-08,Email,Lifecycle,synthetic,18248,669,43.21,50,39,436.03,0,0
2024-03-08,Organic,Content & SEO,synthetic,26372,1373,13.46,73,55,242.25,0,0
2024-03-09,Google Ads,Search & Shopping,synthetic,26886,923,582.74,40,34,1969.25,0,0
2024-03-09,Meta Ads,Prospecting & Retargeting,synthetic,39671,822,459.43,32,28,1470.25,0,0
2024-03-09,Email,Lifecycle,synthetic,21968,777,43.08,56,46,500.45,0,0
2024-03-09,Organic,Content & SEO,synthetic,30546,1573,15.00,92,78,336.13,0,0
2024-03-10,Google Ads,Search & Shopping,synthetic,33224,1055,587.15,45,37,2236.17,0,0
2024-03-10,Meta Ads,Prospecting & Retargeting,synthetic,37713,751,460.34,29,23,1444.76,0,0
2024-03-10,Email,Lifecycle,synthetic,24566,854,47.61,55,47,559.00,0,0
2024-03-10,Organic,Content & SEO,synthetic,26265,1397,14.22,73,54,301.62,0,0
2024-03-11,Google Ads,Search & Shopping,synthetic,36338,1177,534.30,58,47,2312.69,0,0
2024-03-11,Meta Ads,Prospecting & Retargeting,synthetic,45263,1003,441.31,36,30,1608.22,0,0
2024-03-11,Email,Lifecycle,synthetic,16530,584,40.04,43,33,335.82,0,0
2024-03-11,Organic,Content & SEO,synthetic,23939,1239,13.92,63,51,273.75,0,0
2024-03-12,Google Ads,Search & Shopping,synthetic,36900,1169,591.22,54,44,2556.17,0,0
2024-03-12,Meta Ads,Prospecting & Retargeting,synthetic,42177,854,415.87,32,27,1644.26,0,0
2024-03-12,Email,Lifecycle,synthetic,17799,597,45.39,42,34,419.74,0,0
2024-03-12,Organic,Content & SEO,synthetic,23873,1139,14.22,57,47,241.89,0,0
2024-03-13,Google Ads,Search & Shopping,synthetic,35035,1061,542.37,48,38,2766.03,0,0
2024-03-13,Meta Ads,Prospecting & Retargeting,synthetic,50584,1071,433.87,37,31,1628.34,0,0
2024-03-13,Email,Lifecycle,synthetic,17384,620,46.84,42,35,394.11,0,0
2024-03-13,Organic,Content & SEO,synthetic,22788,1193,15.09,69,62,288.19,0,0
2024-03-14,Google Ads,Search & Shopping,synthetic,35263,1116,565.78,55,46,2817.48,0,0
